iso_code,continent,location
DZA,Africa,Algeria
COG,Africa,Congo
EGY,Africa,Egypt
KEN,Africa,Kenya
LBY,Africa,Libya
MAR,Africa,Morocco
NAM,Africa,Namibia
NGA,Africa,Nigeria
SEN,Africa,Senegal
ZAF,Africa,South Africa
SDN,Africa,Sudan
TZA,Africa,Tanzania
TUN,Africa,Tunisia
UGA,Africa,Uganda
ZWE,Africa,Zimbabwe
AFG,Asia,Afghanistan
BHR,Asia,Bahrain
BGD,Asia,Bangladesh
BTN,Asia,Bhutan
KHM,Asia,Cambodia
CHN,Asia,China
HKG,Asia,Hong Kong
IND,Asia,India
IDN,Asia,Indonesia
IRN,Asia,Iran
IRQ,Asia,Iraq
ISR,Asia,Israel
JPN,Asia,Japan
MYS,Asia,Malaysia
MMR,Asia,Myanmar
NPL,Asia,Nepal
PAK,Asia,Pakistan
SAU,Asia,Saudi Arabia
SGP,Asia,Singapore
KOR,Asia,South Korea
LKA,Asia,Sri Lanka
ARE,Asia,United Arab Emirates
AUS,Oceania,Australia
FJI,Oceania,Fiji
PYF,Oceania,French Polynesia
GUM,Oceania,Guam
NCL,Oceania,New Caledonia
NZL,Oceania,New Zealand
MNP,Oceania,Northern Mariana Islands
PNG,Oceania,Papua New Guinea
AUT,Europe,Austria
BEL,Europe,Belgium
HRV,Europe,Croatia
DNK,Europe,Denmark
FIN,Europe,Finland
FRA,Europe,France
DEU,Europe,Germany
GRC,Europe,Greece
ITA,Europe,Italy
LVA,Europe,Latvia
NLD,Europe,Netherlands
PRT,Europe,Portugal
RUS,Europe,Russia
ESP,Europe,Spain
CHE,Europe,Switzerland
GBR,Europe,United Kingdom
BMU,North America,Bermuda
CAN,North America,Canada
CUB,North America,Cuba
JAM,North America,Jamaica
MEX,North America,Mexico
PAN,North America,Panama
USA,North America,United States
ARG,South America,Argentina
BOL,South America,Bolivia
BRA,South America,Brazil
CHL,South America,Chile
COL,South America,Colombia
ECU,South America,Ecuador
GUY,South America,Guyana
PRY,South America,Paraguay
PER,South America,Peru
SUR,South America,Suriname
URY,South America,Uruguay
VEN,South America,Venezuela
